EyeTotalDuration_TOR_FrontOnly,EyeCount_TOR_FrontOnly,EyeTotalDuration_TOR,EyeCount_TOR,class_tf,fileIDs
6,4,6,4,0,S16_02_Movie_CANData
57,5,144,10,0,S16_02_NoNDRT_CANData
89,5,184,19,1,S16_02_conversation_CANData
62,6,136,16,1,S16_02_drink_CANData
79,11,127,19,2,S16_02_texting_CANData
62,8,111,19,2,S16_03_Movie_CANData
96,6,152,16,0,S16_03_NoNDRT_CANData
30,2,44,4,0,S16_03_conversation_CANData
88,10,144,17,2,S16_03_drink_CANData
34,13,74,21,2,S16_03_texting_CANData
100,6,172,18,1,S17_01_Movie_CANData
116,8,182,20,1,S17_01_NoNDRT_CANData
102,6,164,16,1,S17_01_conversation_CANData
74,4,150,8,0,S17_01_drink_CANData
70,10,152,16,1,S17_01_texting_CANData
74,6,144,12,0,S17_02_Movie_CANData
80,6,160,12,1,S17_02_NoNDRT_CANData
72,2,98,10,1,S17_02_conversation_CANData
68,11,157,24,1,S17_02_drink_CANData
58,10,133,29,2,S17_02_texting_CANData
152,6,196,8,2,S17_03_Movie_CANData
110,8,138,11,0,S17_03_NoNDRT_CANData
114,7,168,14,1,S17_03_conversation_CANData
70,8,146,16,0,S17_03_drink_CANData
29,6,95,24,0,S17_03_texting_CANData
16,2,108,32,1,S18_01_Movie_CANData
118,11,148,17,1,S18_01_NoNDRT_CANData
48,6,114,16,2,S18_01_conversation_CANData
94,10,108,16,2,S18_01_drink_CANData
34,2,44,8,2,S18_01_texting_CANData
0,0,74,11,1,S18_02_Movie_CANData
77,7,136,10,1,S18_02_NoNDRT_CANData
38,4,86,8,1,S18_02_conversation_CANData
30,6,151,16,1,S18_02_drink_CANData
26,6,72,14,2,S18_02_texting_CANData
66,7,117,12,0,S18_03_NoNDRT_CANData
0,0,38,6,0,S18_03_conversation_CANData
0,0,104,9,0,S18_03_drink_CANData
0,0,106,32,2,S18_03_texting_CANData
52,7,206,21,2,S19_01_Movie_CANData
167,9,253,17,2,S19_01_NoNDRT_CANData
66,9,110,17,2,S19_01_conversation_CANData
105,7,163,15,1,S19_01_drink_CANData
70,7,121,16,2,S19_01_texting_CANData
60,10,172,24,2,S19_02_Movie_CANData
56,6,110,18,0,S19_02_NoNDRT_CANData
50,5,134,15,1,S19_02_conversation_CANData
102,6,164,18,2,S19_02_drink_CANData
104,9,159,20,2,S19_02_texting_CANData
60,4,224,10,2,S19_03_Movie_CANData
62,4,128,9,0,S19_03_NoNDRT_CANData
110,6,174,12,1,S19_03_conversation_CANData
79,4,171,13,2,S19_03_drink_CANData
38,5,102,15,2,S19_03_texting_CANData
34,8,130,15,1,S20_01_Movie_CANData
88,8,122,16,0,S20_01_NoNDRT_CANData
60,5,80,13,0,S20_01_conversation_CANData
22,2,38,4,0,S20_01_drink_CANData
80,6,108,14,0,S20_01_texting_CANData
38,6,188,21,2,S20_02_Movie_CANData
89,8,124,15,0,S20_02_NoNDRT_CANData
58,6,88,10,0,S20_02_conversation_CANData
143,7,171,15,1,S20_02_drink_CANData
60,4,106,14,0,S20_02_texting_CANData
70,6,206,21,2,S20_03_Movie_CANData
70,5,92,11,0,S20_03_NoNDRT_CANData
54,2,80,6,0,S20_03_conversation_CANData
54,5,90,10,0,S20_03_drink_CANData
34,6,72,14,0,S20_03_texting_CANData
20,2,26,6,2,S21_01_Movie_CANData
120,6,134,18,1,S21_01_NoNDRT_CANData
66,9,94,17,0,S21_01_conversation_CANData
61,10,91,19,1,S21_01_drink_CANData
36,6,46,12,1,S21_01_texting_CANData
20,4,40,18,0,S21_02_Movie_CANData
66,12,94,22,0,S21_02_NoNDRT_CANData
87,9,93,15,0,S21_02_conversation_CANData
46,4,48,6,0,S21_02_drink_CANData
65,10,71,16,2,S21_02_texting_CANData
0,0,0,0,2,S21_03_Movie_CANData
71,7,74,10,0,S21_03_NoNDRT_CANData
0,0,0,0,0,S21_03_conversation_CANData
56,4,62,8,0,S21_03_drink_CANData
14,4,14,4,1,S21_03_texting_CANData
2,2,2,2,2,S22_01_Movie_CANData
90,8,194,18,2,S22_01_NoNDRT_CANData
16,6,24,12,2,S22_01_drink_CANData
0,0,0,0,2,S22_01_texting_CANData
2,2,92,24,2,S22_02_Movie_CANData
0,0,2,2,1,S22_02_NoNDRT_CANData
2,2,8,6,1,S22_02_conversation_CANData
0,0,12,8,2,S22_02_drink_CANData
30,2,172,18,1,S22_02_texting_CANData
0,0,0,0,2,S22_03_Movie_CANData
35,3,162,28,1,S22_03_NoNDRT_CANData
4,4,62,6,2,S22_03_drink_CANData
0,0,10,8,2,S22_03_texting_CANData
28,8,140,19,2,S23_01_Movie_CANData
70,3,116,13,1,S23_01_NoNDRT_CANData
34,6,84,22,2,S23_01_conversation_CANData
12,8,38,18,2,S23_01_drink_CANData
36,12,40,16,2,S23_01_texting_CANData
2,2,52,20,2,S23_02_Movie_CANData
115,21,137,39,1,S23_02_NoNDRT_CANData
4,4,4,4,2,S23_02_conversation_CANData
90,8,94,12,2,S23_02_drink_CANData
42,12,74,30,2,S23_02_texting_CANData
4,4,22,18,2,S23_03_Movie_CANData
125,16,160,31,2,S23_03_NoNDRT_CANData
20,16,32,28,1,S23_03_conversation_CANData
53,14,111,28,2,S23_03_drink_CANData
27,17,73,45,2,S23_03_texting_CANData
74,17,238,27,2,S24_01_Movie_CANData
46,18,54,24,1,S24_01_NoNDRT_CANData
4,2,6,4,1,S24_01_conversation_CANData
28,8,48,12,0,S24_01_drink_CANData
0,0,0,0,1,S24_01_texting_CANData
14,8,14,8,0,S24_02_NoNDRT_CANData
0,0,0,0,0,S24_02_conversation_CANData
15,11,31,15,0,S24_02_drink_CANData
0,0,0,0,2,S24_02_texting_CANData
30,4,34,6,1,S24_03_Movie_CANData
0,0,0,0,0,S24_03_NoNDRT_CANData
0,0,0,0,0,S24_03_conversation_CANData
0,0,0,0,0,S24_03_drink_CANData
14,4,20,8,0,S24_03_texting_CANData
74,2,104,5,0,S25_01_Movie_CANData
138,2,138,2,0,S25_01_NoNDRT_CANData
132,3,148,5,0,S25_01_conversation_CANData
111,7,146,14,0,S25_01_drink_CANData
94,8,150,19,0,S25_01_texting_CANData
73,3,128,12,0,S25_02_Movie_CANData
134,6,138,10,0,S25_02_NoNDRT_CANData
103,13,116,17,0,S25_02_conversation_CANData
104,5,110,7,0,S25_02_drink_CANData
65,5,87,17,0,S25_02_texting_CANData
108,6,136,14,0,S25_03_NoNDRT_CANData
111,6,130,12,0,S25_03_conversation_CANData
70,9,110,13,0,S25_03_drink_CANData
0,0,50,26,0,S25_03_texting_CANData
86,6,195,20,2,S26_01_Movie_CANData
132,10,146,20,1,S26_01_NoNDRT_CANData
64,4,128,12,0,S26_01_conversation_CANData
79,7,129,19,1,S26_01_drink_CANData
86,8,140,24,2,S26_01_texting_CANData
100,8,190,14,2,S26_02_Movie_CANData
110,7,140,13,0,S26_02_NoNDRT_CANData
38,6,86,18,0,S26_02_conversation_CANData
92,6,135,11,1,S26_02_drink_CANData
56,12,79,21,1,S26_02_texting_CANData
70,8,122,20,0,S26_03_NoNDRT_CANData
54,6,70,10,0,S26_03_conversation_CANData
94,6,130,14,0,S26_03_drink_CANData
106,6,120,12,1,S26_03_texting_CANData
157,8,207,17,2,S27_01_Movie_CANData
143,7,177,13,1,S27_01_NoNDRT_CANData
186,13,247,26,2,S27_01_conversation_CANData
122,6,146,12,1,S27_01_drink_CANData
112,10,144,16,2,S27_01_texting_CANData
66,4,151,10,1,S27_02_Movie_CANData
134,8,188,12,1,S27_02_NoNDRT_CANData
154,9,176,13,1,S27_02_conversation_CANData
147,6,175,10,1,S27_02_drink_CANData
92,6,118,14,2,S27_02_texting_CANData
59,9,248,15,2,S27_03_Movie_CANData
108,5,168,9,1,S27_03_NoNDRT_CANData
127,12,157,16,2,S27_03_conversation_CANData
91,7,129,15,1,S27_03_drink_CANData
88,6,106,10,2,S27_03_texting_CANData
6,2,196,15,2,S28_01_Movie_CANData
81,5,169,13,1,S28_01_NoNDRT_CANData
15,1,15,1,1,S28_01_conversation_CANData
69,5,136,22,1,S28_01_drink_CANData
8,6,40,12,2,S28_01_texting_CANData
24,2,158,20,2,S28_02_Movie_CANData
42,6,83,19,0,S28_02_NoNDRT_CANData
15,5,53,15,2,S28_02_conversation_CANData
86,7,158,15,1,S28_02_drink_CANData
50,2,74,8,2,S28_02_texting_CANData
4,4,12,12,2,S28_03_Movie_CANData
80,4,165,14,1,S28_03_NoNDRT_CANData
50,14,70,22,1,S28_03_conversation_CANData
42,8,54,16,1,S28_03_drink_CANData
40,2,72,14,1,S28_03_texting_CANData
10,4,48,10,0,S29_01_Movie_CANData
38,10,38,10,0,S29_01_NoNDRT_CANData
8,5,10,7,2,S29_01_conversation_CANData
116,9,150,15,0,S29_01_drink_CANData
56,8,92,16,1,S29_01_texting_CANData
27,8,49,16,0,S29_02_Movie_CANData
141,13,151,15,1,S29_02_NoNDRT_CANData
0,0,0,0,0,S29_02_conversation_CANData
0,0,4,2,2,S29_02_drink_CANData
30,6,30,6,2,S29_02_texting_CANData
44,6,118,14,2,S29_03_Movie_CANData
88,6,104,10,0,S29_03_NoNDRT_CANData
4,4,4,4,0,S29_03_conversation_CANData
51,5,55,7,1,S29_03_drink_CANData
34,2,36,4,2,S29_03_texting_CANData
4,2,174,14,2,S30_01_Movie_CANData
92,5,196,15,2,S30_01_NoNDRT_CANData
8,4,100,10,2,S30_01_conversation_CANData
50,7,94,17,2,S30_01_drink_CANData
82,10,198,18,2,S30_01_texting_CANData
25,3,164,9,1,S30_02_Movie_CANData
38,2,174,10,1,S30_02_NoNDRT_CANData
86,7,176,13,2,S30_02_conversation_CANData
28,4,68,10,1,S30_02_drink_CANData
